Rank,Name,Team,WAR,G,GS,IP,ERA,WHIP,SO,BB,H,HR,WP,BK,SB
1,임찬규,LG,4.46,25,24,134.0,3.83,1.39,136,42,144,12,1,0,6
2,엔스,LG,4.33,30,30,167.2,4.19,1.31,157,50,169,16,4,0,7
3,손주영,LG,4.31,28,27,144.2,3.79,1.46,112,54,157,11,6,0,4
4,최원태,LG,3.3,24,23,126.2,4.26,1.44,103,57,126,10,5,0,1
5,켈리,LG,2.2,19,19,113.2,4.51,1.37,69,25,131,13,9,0,3
6,에르난데스,LG,1.59,11,9,47.0,4.02,1.21,55,16,41,5,1,0,1
7,김진성,LG,1.23,71,0,70.1,3.97,1.21,61,23,62,11,2,0,3
8,유영찬,LG,1.06,62,0,63.2,2.97,1.43,77,30,61,2,5,2,0
9,김유영,LG,0.84,53,2,47.2,3.78,1.38,42,16,50,2,3,1,1
10,이종준,LG,0.52,27,0,26.0,4.15,1.62,28,16,26,4,1,0,1
11,김대현,LG,0.11,37,0,35.0,5.4,1.46,30,18,33,6,5,0,2
12,이지강,LG,0.11,46,2,53.2,4.53,1.62,39,26,61,5,5,0,1
13,박명근,LG,-0.34,33,0,25.1,6.39,1.62,13,12,29,6,0,0,0
14,백승현,LG,-0.5,36,0,26.2,9.11,2.06,14,22,33,3,1,0,1
15,이우찬,LG,-0.73,42,1,33.2,8.82,2.14,31,30,42,2,6,1,2
1,류현진,한화,4.44,28,28,158.1,3.87,1.36,135,33,182,12,1,0,2
2,주현상,한화,3.13,65,0,71.1,2.65,0.84,64,8,52,9,1,0,0
3,와이스,한화,2.92,16,16,91.2,3.73,1.16,98,29,77,8,6,0,5
4,문동주,한화,1.77,21,21,111.1,5.17,1.67,96,38,148,14,8,1,8
5,바리아,한화,1.69,20,19,92.2,5.15,1.42,83,18,114,10,6,0,5
6,산체스,한화,1.48,11,11,53.1,4.22,1.52,56,21,60,2,2,1,5
7,황준서,한화,1.24,36,11,72.0,5.38,1.82,70,51,80,9,3,1,13
8,박상원,한화,1.11,65,0,66.2,4.59,1.19,65,22,57,2,8,1,2
9,이민우,한화,0.99,64,0,55.0,3.76,1.44,49,23,56,5,1,0,13
10,한승혁,한화,0.94,70,0,62.2,5.03,1.61,64,38,63,2,6,0,8
11,장민재,한화,0.74,26,0,29.0,3.10,1.83,17,7,46,2,5,0,3
12,김서현,한화,0.71,37,0,38.1,3.76,1.64,43,32,31,0,3,0,2
13,이상규,한화,0.48,21,3,32.0,5.63,1.69,27,15,39,5,1,0,3
14,김기중,한화,0.33,27,11,59.0,6.56,1.86,39,27,83,8,2,0,14
15,장시환,한화,0.28,30,0,33.1,5.13,1.68,28,22,34,3,0,0,6
17,김범수,한화,0.08,39,0,34.0,5.29,1.56,38,20,33,11,3,0,5
18,김규연,한화,0.01,58,1,59.0,7.02,1.59,40,28,66,6,3,0,8
19,조동욱,한화,0.00,21,8,41.0,6.37,1.73,32,14,57,5,1,1,4
1,윌커슨,롯데,6.81,32,32,196.2,3.84,1.21,167,27,210,18,3,0,12
2,반즈,롯데,6.43,25,25,150.2,3.35,1.23,171,18,140,12,6,0,12
3,박세웅,롯데,4.06,30,30,173.1,4.78,1.41,124,56,188,13,10,0,9
4,김원중,롯데,2.44,56,0,63.1,3.55,1.42,68,31,59,4,5,0,7
5,김진욱,롯데,2.02,19,18,84.2,5.31,1.57,87,44,89,13,5,0,0
6,한현희,롯데,1.58,57,5,76.1,5.19,1.52,70,24,92,7,4,0,5
7,박진,롯데,1.12,38,3,49.1,4.38,1.44,35,11,60,4,4,0,4
8,김상수,롯데,1.12,74,0,73.2,4.15,1.32,56,26,71,5,6,1,6
9,김강현,롯데,0.53,26,0,25.1,3.55,1.82,24,18,28,2,3,0,2
10,전미르,롯데,0.42,36,0,33.2,5.88,1.6,34,21,33,4,3,0,1
11,구승민,롯데,0.19,66,0,57.2,4.84,1.79,62,35,68,6,7,0,8
12,이민석,롯데,0.07,18,5,31.0,7.26,2.03,20,25,38,3,1,0,6
13,진해수,롯데,-0.17,54,0,27.2,6.18,1.66,22,10,36,5,2,0,1
14,이인복,롯데,-0.31,8,6,33.0,9.55,1.88,20,13,49,10,4,0,1
15,나균안,롯데,-0.64,26,14,73.0,8.51,2.21,74,47,114,15,10,1,5
1,코너,삼성,5.95,28,28,160.0,3.43,1.09,158,40,135,17,9,0,27
2,원태인,삼성,5.87,28,28,159.2,3.66,1.20,119,42,150,29,3,0,10
3,레예스,삼성,5.06,26,26,144.0,3.81,1.31,114,30,159,21,4,0,27
4,이승현,삼성,2.70,17,17,87.1,4.23,1.43,68,30,88,11,5,0,6
5,임창민,삼성,1.97,60,0,54.1,3.98,1.66,50,30,60,10,5,0,7
6,최지광,삼성,1.63,35,0,36.1,2.23,1.18,32,4,22,6,1,0,5
7,김재윤,삼성,1.42,65,0,66.0,4.09,1.26,51,25,58,9,5,1,5
8,김태훈,삼성,1.32,56,0,52.1,3.96,1.30,42,18,49,8,5,0,4
9,황동재,삼성,1.18,15,6,42.0,4.07,1.33,38,9,41,5,4,0,4
