Date,Day,Weekday,Seoul Jamsil,Seoul Gocheok,Incheon Munhak,Suwon,Daejeon,Daegu,Gwangju,Busan Sajik,Changwon
3,23.0,토,한화-LG,,롯데-SSG,삼성-KT,,,키움-KIA,,두산-NC
3,24.0,일,한화-LG,,롯데-SSG,삼성-KT,,,키움-KIA,,두산-NC
3,25.0,월,,,,,,,,,
3,26.0,화,삼성-LG,,한화-SSG,두산-KT,,,롯데-KIA,,키움-NC
3,27.0,수,삼성-LG,,한화-SSG,두산-KT,,,롯데-KIA,,키움-NC
3,28.0,목,삼성-LG,,한화-SSG,두산-KT,,,롯데-KIA,,키움-NC
3,29.0,금,KIA-두산,LG-키움,,,KT-한화,SSG-삼성,,NC-롯데,
3,30.0,토,KIA-두산,LG-키움,,,KT-한화,SSG-삼성,,NC-롯데,
3,31.0,일,KIA-두산,LG-키움,,,KT-한화,SSG-삼성,,NC-롯데,
4,1.0,월,,,,,,,,,
4,2.0,화,NC-LG,,두산-SSG,KIA-KT,롯데-한화,키움-삼성,,,
4,3.0,수,NC-LG,,두산-SSG,KIA-KT,롯데-한화,키움-삼성,,,
4,4.0,목,NC-LG,,두산-SSG,KIA-KT,롯데-한화,키움-삼성,,,
4,5.0,금,KT-LG,한화-키움,,,,,삼성-KIA,두산-롯데,SSG-NC
4,6.0,토,KT-LG,한화-키움,,,,,삼성-KIA,두산-롯데,SSG-NC
4,7.0,일,KT-LG,한화-키움,,,,,삼성-KIA,두산-롯데,SSG-NC
4,8.0,월,,,,,,,,,
4,9.0,화,한화-두산,,키움-SSG,,,,LG-KIA,삼성-롯데,KT-NC
4,10.0,수,한화-두산,,키움-SSG,,,,LG-KIA,삼성-롯데,KT-NC
4,11.0,목,한화-두산,,키움-SSG,,,,LG-KIA,삼성-롯데,KT-NC
4,12.0,금,LG-두산,롯데-키움,,SSG-KT,KIA-한화,NC-삼성,,,
4,13.0,토,LG-두산,롯데-키움,,SSG-KT,KIA-한화,NC-삼성,,,
4,14.0,일,LG-두산,롯데-키움,,SSG-KT,KIA-한화,NC-삼성,,,
4,15.0,월,,,,,,,,,
4,16.0,화,롯데-LG,KT-키움,KIA-SSG,,,두산-삼성,,,한화-NC
4,17.0,수,롯데-LG,KT-키움,KIA-SSG,,,두산-삼성,,,한화-NC
4,18.0,목,롯데-LG,KT-키움,KIA-SSG,,,두산-삼성,,,한화-NC
4,19.0,금,키움-두산,,LG-SSG,,삼성-한화,,NC-KIA,KT-롯데,
4,20.0,토,키움-두산,,LG-SSG,,삼성-한화,,NC-KIA,KT-롯데,
4,21.0,일,키움-두산,,LG-SSG,,삼성-한화,,NC-KIA,KT-롯데,
4,22.0,월,,,,,,,,,
4,23.0,화,NC-두산,KIA-키움,,한화-KT,,LG-삼성,,SSG-롯데,
4,24.0,수,NC-두산,KIA-키움,,한화-KT,,LG-삼성,,SSG-롯데,
4,25.0,목,NC-두산,KIA-키움,,한화-KT,,LG-삼성,,SSG-롯데,
4,26.0,금,KIA-LG,삼성-키움,KT-SSG,,두산-한화,,,,롯데-NC
4,27.0,토,KIA-LG,삼성-키움,KT-SSG,,두산-한화,,,,롯데-NC
4,28.0,일,KIA-LG,삼성-키움,KT-SSG,,두산-한화,,,,롯데-NC
4,29.0,월,,,,,,,,,
4,30.0,화,삼성-두산,,,,SSG-한화,,KT-KIA,키움-롯데,LG-NC
5,1.0,수,삼성-두산,,,,SSG-한화,,KT-KIA,키움-롯데,LG-NC
5,2.0,목,삼성-두산,,,,SSG-한화,,KT-KIA,키움-롯데,LG-NC
5,3.0,금,두산-LG,,NC-SSG,키움-KT,,롯데-삼성,한화-KIA,,
5,4.0,토,두산-LG,,NC-SSG,키움-KT,,롯데-삼성,한화-KIA,,
5,5.0,일,두산-LG,,NC-SSG,키움-KT,,롯데-삼성,한화-KIA,,
5,6.0,월,,,,,,,,,
5,7.0,화,SSG-LG,두산-키움,,NC-KT,,KIA-삼성,,한화-롯데,
